,Channels,Trials,Trials M0,Trials M1,Trials M2,Trials Block 1,Trials Block 2,maximum accuracy w/ Silhouette achieved in bloc 1,maximum accuracy w/ Silhouette achieved in bloc 2
Subject 25 ElectrodeSpace,42.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.41587301587301584,0.34153846153846157
Subject 25 FontSpace,42.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.4095238095238095,0.3353846153846154
Subject 26 ElectrodeSpace,49.0,1017.0,370.0,323.0,324.0,432.0,585.0,0.3515625,0.691111111111111
Subject 26 FontSpace,49.0,1017.0,432.0,324.0,261.0,432.0,585.0,0.3258064516129033,0.667391304347826
Subject 27 ElectrodeSpace,50.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.8565891472868217,0.7622047244094489
Subject 27 FontSpace,50.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.89375,0.8084033613445378
Subject 28 ElectrodeSpace,53.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.75859375,0.721875
Subject 28 FontSpace,53.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.8071428571428572,0.7153225806451612
Subject 29 ElectrodeSpace,36.0,1080.0,432.0,216.0,432.0,432.0,648.0,0.36666666666666664,0.34923076923076923
Subject 29 FontSpace,36.0,1080.0,432.0,216.0,432.0,432.0,648.0,0.35000000000000003,0.2984615384615385
Subject 30 ElectrodeSpace,48.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.3384615384615385,0.3123076923076923
Subject 30 FontSpace,49.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.3384615384615385,0.326984126984127
Subject 31 ElectrodeSpace,45.0,1080.0,432.0,432.0,216.0,432.0,648.0,-1.0,0.7226890756302521
Subject 31 FontSpace,45.0,1080.0,432.0,432.0,216.0,432.0,648.0,-1.0,0.7429752066115702
Subject 32 ElectrodeSpace,29.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.34461538461538466,0.4938461538461539
Subject 32 FontSpace,29.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.33384615384615385,0.5000000000000001
Subject 33 ElectrodeSpace,54.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.8140495867768596,0.7333333333333333
Subject 33 FontSpace,54.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.971551724137931,0.7183999999999999
Subject 34 ElectrodeSpace,42.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.761344537815126,0.74375
Subject 34 FontSpace,43.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.800854700854701,0.737007874015748
Subject 35 ElectrodeSpace,45.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.7375,0.805982905982906
Subject 35 FontSpace,45.0,1296.0,432.0,432.0,432.0,648.0,648.0,0.7682926829268293,0.771186440677966
