,Clean Channels,N. trials,M0,M1,M2,captured variance after PCA,N. trials w/o Outliers ,M0 w/o Outliers ,M1 w/o Outliers ,M2 w/o Outliers ,test size
<<<<<<< HEAD
gamma1,42.0,648.0,216.0,324.0,108.0,0.8785897760159174,632.0,209.0,318.0,105.0,63.0
gamma2,42.0,648.0,216.0,108.0,324.0,0.8055693304342363,629.0,206.0,108.0,315.0,65.0
beta1,42.0,648.0,216.0,324.0,108.0,0.850917632218934,635.0,214.0,317.0,104.0,63.0
beta2,42.0,648.0,216.0,108.0,324.0,0.8471324499637289,636.0,209.0,108.0,319.0,65.0
alpha1,42.0,648.0,216.0,324.0,108.0,0.8898206516631696,637.0,213.0,319.0,105.0,63.0
alpha2,42.0,648.0,216.0,108.0,324.0,0.917451451211688,638.0,209.0,108.0,321.0,65.0
noFilter1,42.0,648.0,216.0,324.0,108.0,0.9713291791732737,645.0,216.0,321.0,108.0,65.0
noFilter2,42.0,648.0,216.0,108.0,324.0,0.8128714231647867,637.0,209.0,107.0,321.0,65.0
=======
gamma1,42.0,648.0,216.0,324.0,108.0,0.8785897760159174,632.0,209.0,318.0,105.0,21.0
gamma2,42.0,648.0,216.0,108.0,324.0,0.8055693304342363,629.0,206.0,108.0,315.0,21.6
beta1,42.0,648.0,216.0,324.0,108.0,0.850917632218934,635.0,214.0,317.0,104.0,20.8
beta2,42.0,648.0,216.0,108.0,324.0,0.8471324499637289,636.0,209.0,108.0,319.0,21.6
alpha1,42.0,648.0,216.0,324.0,108.0,0.8898206516631696,637.0,213.0,319.0,105.0,21.0
alpha2,42.0,648.0,216.0,108.0,324.0,0.917451451211688,638.0,209.0,108.0,321.0,21.6
noFilter1,42.0,648.0,216.0,324.0,108.0,0.9713291791732737,645.0,216.0,321.0,108.0,21.6
noFilter2,42.0,648.0,216.0,108.0,324.0,0.8128714231647867,637.0,209.0,107.0,321.0,21.400000000000002
>>>>>>> 3de395fe42d13c0f59a6b4501a0b12244fe463cb
