,Clean Channels,N. trials,M0,M1,M2,captured variance after PCA,N. trials w/o Outliers ,M0 w/o Outliers ,M1 w/o Outliers ,M2 w/o Outliers ,test size
<<<<<<< HEAD
gamma1,50.0,648.0,216.0,216.0,216.0,0.8220581239450494,638.0,212.0,213.0,213.0,128.0
gamma2,50.0,648.0,216.0,216.0,216.0,0.8137875430775479,622.0,198.0,209.0,215.0,119.0
beta1,50.0,648.0,216.0,216.0,216.0,0.9727491015352222,632.0,206.0,214.0,212.0,124.0
beta2,50.0,648.0,216.0,216.0,216.0,0.6047825241371447,642.0,214.0,215.0,213.0,128.0
alpha1,50.0,648.0,216.0,216.0,216.0,0.9905927661459426,633.0,205.0,216.0,212.0,123.0
alpha2,50.0,648.0,216.0,216.0,216.0,0.5705702400076703,640.0,215.0,215.0,210.0,126.0
noFilter1,50.0,648.0,216.0,216.0,216.0,0.9670260903468002,645.0,214.0,216.0,215.0,129.0
noFilter2,50.0,648.0,216.0,216.0,216.0,0.38053046148531144,634.0,212.0,212.0,210.0,126.0
=======
gamma1,50.0,648.0,216.0,216.0,216.0,0.8220581239450494,638.0,212.0,213.0,213.0,42.400000000000006
gamma2,50.0,648.0,216.0,216.0,216.0,0.8137875430775479,622.0,198.0,209.0,215.0,39.6
beta1,50.0,648.0,216.0,216.0,216.0,0.9727491015352222,632.0,206.0,214.0,212.0,41.2
beta2,50.0,648.0,216.0,216.0,216.0,0.6047825241371447,642.0,214.0,215.0,213.0,42.6
alpha1,50.0,648.0,216.0,216.0,216.0,0.9905927661459426,633.0,205.0,216.0,212.0,41.0
alpha2,50.0,648.0,216.0,216.0,216.0,0.5705702400076703,640.0,215.0,215.0,210.0,42.0
noFilter1,50.0,648.0,216.0,216.0,216.0,0.9670260903468002,645.0,214.0,216.0,215.0,42.800000000000004
noFilter2,50.0,648.0,216.0,216.0,216.0,0.38053046148531144,634.0,212.0,212.0,210.0,42.0
>>>>>>> 3de395fe42d13c0f59a6b4501a0b12244fe463cb
