1(0.45804670083445553, 0.8075414708650016)
1(0.3743216391496471, 0.5280949340189329)
1(0.30767338224148444, 0.4588870816748595)
1(0.3277071431111769, 0.45514927960464835)
1(0.3987621977691994, 0.5099266682795243)
1(0.2195600092915595, 0.2965931524665074)
1(0.49398045091432297, 0.5697695325004882)
1(0.21268228879748585, 0.284812589044637)
1(0.30035467483813516, 0.3717580991498397)
1(0.3247238839067975, 0.39006043495297316)
1(0.1380816274891431, 0.20172853185000117)
1(0.4918265958583612, 0.5541747836944932)
1(0.21053871579643912, 0.27133795678832906)
1(0.21784083141159405, 0.27767196659342985)
1(0.5002288460925177, 0.5459077384520488)
1(0.35518018533121987, 0.3962086519246103)
1(0.3329422848839798, 0.3720436315381055)
1(0.29133706166989715, 0.32985866804678476)
1(0.35930730448943093, 0.3962086519246103)
1(0.17490701598753322, 0.21042549405345734)
1(0.17744810579101278, 0.20981507876631766)
1(0.2783260782735911, 0.31052128104502086)
1(0.30825752238744797, 0.3403186013763826)
1(0.3371104733647732, 0.3675814967472669)
1(0.17832971551094867, 0.20703926803614403)
1(0.38007483407732856, 0.4078637000369514)
1(0.1196221956545157, 0.1464109611703548)
1(0.16462940624014066, 0.19026055276900633)
1(0.23744329496553296, 0.26220719202379295)
1(0.10201207661951239, 0.12645804037582742)
1(0.20276953615258952, 0.22649558855183916)
1(0.09362127785837582, 0.11669481464254272)
1(0.1355229885863959, 0.15822144851567155)
1(0.22072864711660078, 0.2411488119904277)
1(0.0954778306457964, 0.1158391208411671)
1(0.13118730606927986, 0.15043674967942877)
1(0.03952993631077251, 0.0583460097894819)
1(0.14606106452573797, 0.1643658965826723)
1(0.12239675988493903, 0.13971557256063516)
1(0.19432562117374674, 0.21142673054295147)
1(0.06258200638814748, 0.0795444761814269)
1(0.3229996044309933, 0.33982364731179293)
1(0.12026991833750666, 0.13656424947779133)
1(0.08567197447295372, 0.10152147109342435)
1(0.0645155705293684, 0.07999822493821507)
1(0.1190315201828559, 0.1344181683667215)
1(0.2821104370306331, 0.29722798707979414)
1(0.1202756919582968, 0.13445034928120836)
1(0.032377461853185796, 0.04646875056702404)
1(0.2523774934733307, 0.2662527186286793)
1(0.18548201996658875, 0.19845308886215152)
1(0.07502619247210673, 0.08739195315820969)
1(0.07934292783455932, 0.09144222890217746)
1(0.19413600150017252, 0.2057863694758605)
1(0.21559214744708144, 0.22655305183852048)
1(0.09555335010176824, 0.1064537786656159)
1(0.13048492999776673, 0.14134411192218932)
1(0.06318655962578035, 0.07391588344014577)
1(0.0333998877812095, 0.044017599717958045)
1(0.1330482600364874, 0.14365807890991644)
1(0.12825139672621322, 0.138647055194713)
1(0.06927192433675877, 0.07934063792382973)
1(0.11379577723609946, 0.12329105218497816)
1(0.02594388443750728, 0.03523288417599901)
1(0.02620542786414326, 0.03499170647425853)
1(0.10909285554539061, 0.11786522385666964)
1(0.1196248229881306, 0.12839283294134085)
1(0.2768266107143055, 0.2854214540474125)
1(0.1687781803432341, 0.1772943997944849)
1(0.08348464267662348, 0.09186890426471295)
1(0.2530169209587021, 0.2612998290276194)
1(0.03159009239800481, 0.039868821162347357)
1(0.12013637183656589, 0.12829899033639625)
1(0.07925275741978188, 0.08737650880832515)
1(0.14414016694836795, 0.15199434198542083)
1(0.31074019074783943, 0.3185261551869022)
1(0.03281302195443925, 0.04057241399049771)
1(0.13349765297596705, 0.14125340785396245)
1(0.3643579818493259, 0.3720436315381055)
1(0.05486826737526751, 0.062087166164448315)
1(0.15497876408632705, 0.16216567089951572)
1(0.1657311228908257, 0.1727815757482708)
1(0.016679296315028402, 0.023725793996732247)
1(0.06774750259232876, 0.07461347009575636)
1(0.2704377035802926, 0.27727982293546316)
1(0.10114595193891396, 0.10766910410419106)
