1(0.21770522314551344, 0.4051657123965826)
1(0.1904672684991806, 0.30282891935439127)
1(0.23324977807730218, 0.2826980611490225)
1(0.10950064480336519, 0.1583107899934042)
1(1.0125711082463118, 1.0573503490148575)
1(0.13966885327704415, 0.17928189180338938)
1(0.1874256285468925, 0.22439989836435448)
1(0.07627865195195072, 0.10849420075292382)
1(0.15482431751797732, 0.1856420888934477)
1(0.19088372261814046, 0.21729606543975155)
1(0.09730397501710775, 0.12206327203306522)
1(0.16915692460534637, 0.1932842937765935)
1(0.06942625355249832, 0.09187781082701107)
1(0.10937486219917247, 0.1308966904616824)
1(0.12185610513990408, 0.14320284790227078)
1(0.09318487136200759, 0.11412781300093211)
1(0.07758778766822527, 0.09812624850791019)
1(0.07060686739058586, 0.09082294531482227)
1(0.1300819752664536, 0.1493884748649651)
1(0.06807149605976448, 0.0864007157153791)
1(0.13510008337693513, 0.15330879285274246)
1(0.09298724144855053, 0.11076134756164091)
1(0.10373437416120934, 0.12085492836443112)
1(0.05649423119517927, 0.07313586563103314)
1(0.11392354642888125, 0.13054921121821572)
1(0.081112514300679, 0.09754644760825426)
1(0.06408301926660243, 0.08028728784639327)
1(0.07448650095694764, 0.0902085275970188)
1(0.1253521656835873, 0.14081911542303993)
1(0.07128765728819186, 0.08653290278593262)
1(0.07109613959925287, 0.0851554749357385)
1(0.08791256580939133, 0.10182238449825154)
1(0.08461315381562762, 0.098426003942649)
1(0.118247137991218, 0.13195120857586173)
1(0.10639552842791711, 0.12004146950917705)
1(0.23758446225517094, 0.25094028176029626)
1(0.07470241134789224, 0.08767327879191)
1(0.05257050885246739, 0.06529842903660077)
1(0.10972902926179706, 0.12240869323775894)
1(0.11518513063625924, 0.12778168239084164)
1(0.07693881960755578, 0.0893857966850895)
1(0.06334845178341386, 0.07569000903831802)
1(0.05213219841949801, 0.06427382246197344)
1(0.07921259884820109, 0.09115946726640622)
1(0.07453116169836993, 0.08634605182685351)
1(0.11874417478011356, 0.13053933964398157)
1(0.07206626123510518, 0.08365288611051902)
1(0.0784808768127262, 0.08981564722680913)
1(0.07817878792412436, 0.08949445308327841)
1(0.17427696619332278, 0.1853932213398075)
1(0.09424476711155838, 0.10509302547760324)
1(0.05281999824463057, 0.06305617213122505)
1(0.11673203375180385, 0.12692989381337383)
1(0.07430856113437112, 0.08433842178840123)
1(0.0637620593293321, 0.07371500962677746)
1(0.050257181911663285, 0.060202991217793156)
1(0.0675589327958005, 0.07737238549410874)
1(0.09229987795264316, 0.10191333694961913)
1(0.061283335565284536, 0.07068877617661495)
1(0.06475976415352691, 0.07414812180413755)
1(0.12947266172639804, 0.138805342011327)
1(0.07497316273864707, 0.08412489170681303)
1(0.04202557531288398, 0.05111677556157579)
1(0.07549030162958681, 0.0842633938658689)
1(0.03918225103648454, 0.04794482082987994)
1(0.092661455166266, 0.10123116874593663)
1(0.1238283611156279, 0.1323219981998982)
1(0.0617963649541059, 0.06996268347106516)
1(0.05491723026543138, 0.06305617213122505)
1(0.0749356483108723, 0.08295411666055708)
1(0.04976843851360302, 0.05756707901163005)
1(0.054877704726372434, 0.06260690802795144)
1(0.06583206552744925, 0.07332544377160155)
1(0.059350412837674726, 0.06651614330881872)
1(0.08134790883604437, 0.08832953381100173)
1(0.06888040467603773, 0.07569000903831802)
1(1.0200199847523927, 1.026812103679436)
1(0.08296380925790181, 0.08963523268829332)
1(0.061752419636140754, 0.06834726543998293)
1(0.07843848246571072, 0.08500957796519526)
1(0.09598356858411816, 0.10243368020959798)
1(0.07715079242311396, 0.08352999310782983)
1(0.05473310851501567, 0.06093436940594055)
1(0.04605134897572272, 0.05223485221106783)
1(0.07581504472579381, 0.08183982614463381)
1(0.09329357205346789, 0.09926653892576542)
1(0.07224953909468945, 0.07796969086600436)
1(0.15116150407327877, 0.15684676059307257)
1(0.04720600627216476, 0.05274354877519105)
1(0.07767271579273483, 0.08320179767482405)
1(0.0648741820716553, 0.07029007299716317)
1(0.07653289765772908, 0.08178756682588506)
1(0.055103689628252406, 0.06021951678769255)
1(0.035601037320972084, 0.04062506199743354)
1(0.06269910477471663, 0.06755593171269947)
1(0.07599482504373223, 0.08079813172317996)
1(0.05460948594222803, 0.0593424785535821)
1(0.22929857213594662, 0.23392161149896618)
1(0.06338560027597073, 0.06798912035705562)
1(0.07714639375522914, 0.08151215854726723)
1(0.05257951947740647, 0.05691584276668371)
1(0.08946349902892559, 0.093756989244559)
1(0.17898469525520966, 0.18320651993589043)
1(0.06138447736323993, 0.06547401346427761)
1(0.1068999941656491, 0.11094149214746796)
1(0.03782352502336117, 0.04182056476059626)
1(0.05301710479418298, 0.05698946791693438)
1(0.0859053694857117, 0.0898333805555197)
1(0.04563930256433568, 0.049500465313777275)
1(0.037548869608899804, 0.04120257027008045)
1(0.05706769001680323, 0.06066308668919651)
1(0.1342393636992698, 0.1378085928011743)
1(0.08950419829268441, 0.0929604468717129)
1(0.07809947672371653, 0.0814898899916584)
1(0.05708574079283868, 0.06041332878884775)
1(0.1502648754457434, 0.1535529046938443)
1(0.0359418712618208, 0.03920715417827558)
1(0.17874296047172156, 0.18172915158687797)
1(0.08197835820315003, 0.08492137550726575)
1(0.21803461330923357, 0.22095183066069934)
1(0.17371556201267946, 0.17659196060042426)
1(0.008591088448578477, 0.01145342547495054)
1(0.07399468958849598, 0.07683987378414281)
1(0.280305279240016, 0.2830775210303976)
1(0.056436100489558605, 0.059174091722290045)
1(0.08712616920174343, 0.0898330725849047)
1(0.05870307211378911, 0.061407166316794104)
1(0.008998370443056958, 0.01159374630240384)
1(0.06295714616151771, 0.06546730782364507)
1(0.008734626236189369, 0.011153467305001441)
1(0.03634115727235643, 0.03875201259907013)
1(0.06299092381291038, 0.06538068318481127)
