,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.31064528586774975,0.2139576420580438,0.0,0.02092426086739063,0.01626451497585979
alpha Motivational state 1,0.31064528586774975,0.0,0.3399426800297296,0.02092426086739063,0.0,0.02092426086739063
alpha Motivational state 2,0.2139576420580438,0.3399426800297296,0.0,0.01626451497585979,0.02092426086739063,0.0
betta Motivational state 0,0.0,0.33323359066020264,0.6424469835499542,0.0,0.01847118578825646,0.01847118578825646
betta Motivational state 1,0.33323359066020264,0.0,0.3349548562242184,0.01847118578825646,0.0,0.013624552757572461
betta Motivational state 2,0.6424469835499542,0.3349548562242184,0.0,0.01847118578825646,0.013624552757572461,0.0
gamma Motivational state 0,0.0,1.0974933950807442,1.0665013939523025,0.0,0.7629328670517488,0.011409637111218672
gamma Motivational state 1,1.0974933950807442,0.0,1.3980617559420883,0.7629328670517488,0.0,0.6065878914948605
gamma Motivational state 2,1.0665013939523025,1.3980617559420883,0.0,0.011409637111218672,0.6065878914948605,0.0
no_filter Motivational state 0,0.0,5.734412032240398,2.075907611093858,0.0,0.03865976118291137,0.0
no_filter Motivational state 1,5.734412032240398,0.0,5.246516411337522,0.03865976118291137,0.0,0.03865976118291137
no_filter Motivational state 2,2.075907611093858,5.246516411337522,0.0,0.0,0.03865976118291137,0.0
