1(0.3211629999232545, 0.5972217765625651)
1(0.3284846682869288, 0.6037948073573711)
1(0.3649819261590648, 0.59216715265035)
1(0.38618361892128394, 0.5766159280724015)
1(0.45610297800884336, 0.6226837855493051)
1(0.4632452082110443, 0.6191863978765842)
1(0.3578681127537727, 0.5118548501371285)
1(0.4851193534706635, 0.6305213491026853)
1(0.39382083250949496, 0.5207598365065402)
1(0.3483256363639937, 0.47425741937341526)
1(0.3710200871975937, 0.4967231462363586)
1(0.47619950536837996, 0.6004928477093321)
1(0.5303558569565081, 0.6461634215647175)
1(0.473329149643793, 0.5883934266601356)
1(0.45733828480227945, 0.5587372487173989)
1(0.40960041720726104, 0.5109215149728596)
1(0.5389549310956648, 0.6385859524470784)
1(0.4706345646293073, 0.5674879670680919)
1(0.40069413098082773, 0.4967231462363586)
1(0.3434124240559483, 0.43786121738936046)
1(0.4735761545620515, 0.5628365962351476)
1(0.37986000108147455, 0.46810502912217)
1(0.4884999615324481, 0.5741603156984978)
1(0.3077610054690959, 0.3923218595848733)
1(0.4244985889409779, 0.506689975033173)
1(0.42148716971090905, 0.5023578338488794)
1(0.40449050785664575, 0.48315622270760616)
1(0.26661202888057645, 0.34523555926314087)
1(0.5518570524384361, 0.6296445921225011)
1(0.513307788547331, 0.5909347372752354)
1(0.48308707729009737, 0.5588918090083292)
1(0.42577595828976056, 0.5009239170785327)
1(0.4717738013960444, 0.5468542306102262)
1(0.3693163407448685, 0.444338447363156)
1(0.4447769426634762, 0.5192239261739349)
1(0.4113592839573489, 0.4783236760912616)
1(0.317917577481306, 0.3824004085797348)
1(0.4140092847099487, 0.4771273858977022)
1(0.5595080027464292, 0.6225183542381085)
1(0.4005797654820853, 0.4631468114179653)
1(0.46071725403605146, 0.5229994740830026)
1(0.2906356529018782, 0.35278285226897454)
1(0.25761207269201036, 0.31963432825710125)
1(0.544600024609526, 0.606536014222246)
1(0.375006857004628, 0.43475513624642514)
1(0.326669236837163, 0.38597216864288497)
1(0.3958310709335605, 0.4548325023235159)
1(0.440740638563376, 0.49810143665309703)
1(0.3157513957324295, 0.37077018724356336)
1(0.7653870084010622, 0.8196727791709504)
1(0.23606040736126566, 0.2886307665856799)
1(0.48816141949003145, 0.5404488645043302)
1(0.3392507388867214, 0.3908106887204934)
1(0.28114552945829585, 0.3295647809601999)
1(0.5553571275108502, 0.6036025915648399)
1(0.6263242460101732, 0.6743051676534642)
1(0.5267025440952893, 0.5745033845195174)
1(0.3668445828514303, 0.4140780092043862)
1(0.4263444242696376, 0.47355520346789937)
1(0.25595257555315465, 0.3031561669197653)
1(0.35511028081328444, 0.4010330716132142)
1(0.49883659784917245, 0.5433533630188581)
1(0.4744342389222722, 0.5186840332540991)
1(0.47974405382339513, 0.5237762848005155)
1(0.4309811254191025, 0.47425741937341526)
1(0.31608101856882176, 0.3592038532459889)
1(0.5813373129585468, 0.6243389412184638)
1(0.31139676100767033, 0.3536493367972874)
1(0.2022376443717263, 0.24402850813672017)
1(0.2929903443616614, 0.33460091157396654)
1(0.4144115082169004, 0.45591919584932716)
1(0.3808018640454992, 0.4218093201100491)
1(0.3782779543598719, 0.41716902694843805)
1(0.20780720953910803, 0.24445052278459767)
1(0.23262795601614594, 0.2692527228162842)
1(0.3124695820054083, 0.3488874381172409)
1(0.29891979452697726, 0.33508000189916876)
1(0.35045594810477554, 0.38532224657207936)
1(0.44541807573231273, 0.4796779768561773)
1(0.27480753411236714, 0.3087907684765202)
1(0.2632116217799054, 0.29675871530438214)
1(0.44346695687091897, 0.4769553342580789)
1(0.3639710482289784, 0.39635369025821277)
1(0.32031532411117947, 0.3525607193446101)
1(0.3312246787932305, 0.36345078677680454)
1(0.4396353029901696, 0.4716675397217699)
1(0.32015778225565394, 0.35144705426694833)
1(0.3149256411534317, 0.34602122298996496)
1(0.27341870728107975, 0.3041778629344519)
1(0.29460062413009414, 0.32532398626341763)
1(0.30194303543484735, 0.3322068623337143)
1(0.4432080177543044, 0.47319155684599523)
1(0.4416070360227332, 0.4715231553831879)
1(0.47497479288099087, 0.5046655550111911)
1(0.4919107904031158, 0.5211615938158998)
1(0.4001864779862955, 0.4292853501385342)
1(0.4483629945424594, 0.4771120886335194)
1(0.20155838668598713, 0.2301649540646339)
1(0.4087186899199604, 0.4371961145697211)
1(0.30467927605780454, 0.33256773820871466)
1(0.12620007856136317, 0.15370120382178665)
1(0.5243248199611481, 0.5514549143010393)
1(0.21326288305303998, 0.23977885059236337)
1(0.20191027149421126, 0.22824056630606593)
1(0.35433593859024404, 0.3801327421602163)
1(0.2995409277964016, 0.32532398626341763)
1(0.3547954605608208, 0.38004686278793276)
1(0.4550097515880155, 0.4796779768561773)
1(0.3065235694806121, 0.33093404324009246)
1(0.2684410776894989, 0.29269619437285765)
1(0.497598906803155, 0.5217973037028794)
1(0.44184065327425626, 0.46586967303713045)
1(0.20375232890096795, 0.22774307405343786)
1(0.3310086946628954, 0.35474690536147857)
1(0.5296668123943934, 0.552905254930788)
1(0.23638513442740772, 0.259517823221194)
1(0.327957959421706, 0.3509340746878896)
1(0.28409990630299253, 0.30673879715759256)
1(0.24335497736988843, 0.26570306125340104)
1(0.4656992477729328, 0.487630142027884)
1(0.41661922186356204, 0.4383695961306472)
1(0.45001407125183235, 0.4715231553831879)
1(0.30158896818966374, 0.3229008960054127)
1(0.32331529291272165, 0.34447555053420353)
1(0.2825384032734748, 0.30366620214032614)
1(0.3012628560263527, 0.32173630437493805)
1(0.3167976103118392, 0.3371712532882618)
1(0.3714846514371113, 0.39155918411410495)
1(0.3017083751612285, 0.3216515705246833)
1(0.29328487723223695, 0.31299083180987797)
1(0.4830779443552409, 0.5026034326464366)
1(0.338191476037248, 0.3575317249973695)
1(0.35539843751315503, 0.37417012581289866)
1(0.2739183472684208, 0.292466684707113)
1(0.5145335666701417, 0.5329886934417545)
1(0.46589559099239053, 0.4838376795769238)
1(0.357935874046741, 0.375825711118854)
1(0.21966694843677337, 0.2374758833984889)
1(0.2433356041214626, 0.26111265148432694)
1(0.4800199294723926, 0.49726999447840514)
1(0.23755334784228743, 0.2547417925888703)
1(0.1645025968912266, 0.18132178281506495)
1(0.5732084565783095, 0.5899388517879353)
