,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,14.627233550280963,6.573602157379565,0.0,0.10290260800068829,0.07109402556892785
alpha Motivational state 1,14.627233550280963,0.0,17.529663152400268,0.10290260800068829,0.0,0.10290260800068829
alpha Motivational state 2,6.573602157379565,17.529663152400268,0.0,0.07109402556892785,0.10290260800068829,0.0
betta Motivational state 0,0.0,7.039436651059674,5.850716671027561,0.0,0.07923821822431965,0.06434452503823085
betta Motivational state 1,7.039436651059674,0.0,7.556983467442873,0.07923821822431965,0.0,0.08473473220427863
betta Motivational state 2,5.850716671027561,7.556983467442873,0.0,0.06434452503823085,0.08473473220427863,0.0
gamma Motivational state 0,0.0,11.853125636246148,9.284766724524886,0.0,0.06687695873701749,0.06687695873701749
gamma Motivational state 1,11.853125636246148,0.0,3.3123426391430906,0.06687695873701749,0.0,0.03865276162591691
gamma Motivational state 2,9.284766724524886,3.3123426391430906,0.0,0.06687695873701749,0.03865276162591691,0.0
no_filter Motivational state 0,0.0,471.7943484222876,276.91993597831095,0.0,21.480787892589206,2.7363160484776614
no_filter Motivational state 1,471.7943484222876,0.0,233.66311610049206,21.480787892589206,0.0,21.480787892589206
no_filter Motivational state 2,276.91993597831095,233.66311610049206,0.0,2.7363160484776614,21.480787892589206,0.0
