1(1.0641632633392193, 1.2991624777365702)
1(0.07206616594128179, 0.1387976021972236)
1(0.11091137362123449, 0.1714984424034528)
1(0.1058383465808872, 0.15961986132783534)
1(0.09908659352224602, 0.1469217192116622)
1(0.20867803952022457, 0.2564258741888904)
1(0.11848982139106656, 0.16621274725573398)
1(0.08733033974096494, 0.1320778488234461)
1(0.09346241987917958, 0.1355019720903713)
1(0.09324887411281124, 0.13436429077016354)
1(0.11727964571579486, 0.15676298976033332)
1(0.1265274805286486, 0.16415536601176728)
1(0.11855991807713084, 0.15573915021647688)
1(0.10337125737023711, 0.13984750999385076)
1(0.08198051447955579, 0.11758359209907776)
1(0.10934008038359011, 0.14317420576428663)
1(0.08498410567420223, 0.11791122327751391)
1(0.10870057631205232, 0.1402834712960549)
1(1.2415713542617723, 1.2720139828186743)
1(0.09088160630650854, 0.12116384679602032)
1(0.13370873906981118, 0.1639225330555334)
1(0.0982564360701309, 0.12754846106567663)
1(0.09442266586920223, 0.12348408983421144)
1(0.1509319463589196, 0.17814021942441016)
1(0.09700064562008182, 0.12418857608267908)
1(0.13497490068733464, 0.16162046163799093)
1(0.22621158505247763, 0.25278327203223694)
1(0.11025916203353625, 0.13571323435054738)
1(0.11225036968738222, 0.1366833358565983)
1(0.11723472265718338, 0.14079480733979577)
1(0.08996308660898111, 0.11281501303644714)
1(0.09421813804127666, 0.11523352652900798)
1(0.08664753680413828, 0.1076255214839178)
1(0.11673048979857037, 0.13716238430736893)
1(0.08934116582910911, 0.10960555602560151)
1(0.08408820210193069, 0.10419247568864398)
1(0.0718514059580545, 0.09171737255112411)
1(0.14177940006785716, 0.16041415558830308)
1(0.09023170945118053, 0.10844194300976695)
1(0.12856353834044343, 0.14591928078164895)
1(0.12070578560811385, 0.13775675197445103)
1(0.07986663671734417, 0.09666473377026719)
1(0.1413789613079628, 0.15787676781929372)
1(0.07273346582050855, 0.08879880184898203)
1(0.10610300609261247, 0.1213683057718018)
1(0.12690301729346176, 0.14207461252701248)
1(0.13203869700673798, 0.14720381092517043)
1(0.11912456392802839, 0.13372966417328735)
1(0.11921167114814402, 0.13319021745127257)
1(0.058350062525558855, 0.07152749786552182)
1(0.17339214847405304, 0.1864702139930421)
1(0.0919493577870476, 0.10502327855239357)
1(0.10351867480384191, 0.11622842405482481)
1(0.07096729819390701, 0.08345347226018318)
1(0.10026128020159297, 0.11239725990261229)
1(0.11715545191238574, 0.1291539864600686)
1(0.14508981245623387, 0.1564515687409226)
1(0.12239967033036792, 0.1331806520778639)
1(0.11848112287020307, 0.12907249579462787)
1(0.12802695489360738, 0.13838484961261666)
1(0.12820844004242693, 0.13802444707739747)
1(0.07906889816836193, 0.08869947268207601)
1(0.10542564495013962, 0.11380773445151082)
1(0.05679994326630977, 0.06500206661922536)
1(0.1197982644366491, 0.1279967525988035)
1(0.07801930873584362, 0.08579216107902576)
1(0.05654151617013581, 0.06423150948500178)
1(0.04919170652787941, 0.056785623879614944)
1(0.09454391522581662, 0.10212211509719904)
1(0.060708032603657425, 0.06782080684640468)
1(0.1268683548904571, 0.13366731751486327)
1(0.09827953040907844, 0.10474039008266223)
1(0.1109222317260895, 0.11730327996780554)
1(0.09651386488301972, 0.10282750027750576)
1(0.12432526176882064, 0.13052192381091166)
1(0.08170377517956795, 0.08787415103502272)
1(0.1330341756182758, 0.13878978868880265)
1(0.10998357025457584, 0.1156920989591963)
1(0.1523754929777399, 0.1580758193856966)
1(0.08905868533564731, 0.09469875534764227)
1(0.12877898094000084, 0.13437014220123722)
1(0.12073444078628315, 0.1260861097511824)
1(0.17843809176726955, 0.18365109023200754)
1(0.11419377825085075, 0.11926525416553879)
1(0.1502617004485256, 0.15525836312239727)
1(0.06695838482876504, 0.07178647821462392)
1(0.09249005712169334, 0.09720789455382994)
1(0.1414345960744252, 0.1461382284469167)
1(0.11016989875404037, 0.11480402502562759)
1(0.17018215226073075, 0.17476841565740453)
1(0.11118903463779584, 0.11575291053392045)
1(0.12613744774820834, 0.1301715584349673)
1(0.09154425075815631, 0.09548643472310325)
1(0.12176087979894479, 0.12556554914024343)
1(0.1412570796869188, 0.14499329751257917)
1(0.10890380429862456, 0.11254197839852476)
1(0.07676257942185671, 0.0800353105033027)
1(0.07550260027044087, 0.07872085753428737)
1(0.12294978465733097, 0.1258015922448512)
1(0.11852158414711056, 0.1213683057718018)
1(0.04607518366723762, 0.04881841639160567)
1(0.06722340481388955, 0.06982844149210066)
1(0.054159223323488215, 0.05673860727873126)
1(0.06320698743421305, 0.06575684380784252)
1(0.03507676119818248, 0.03747968888434472)
1(0.0695880263520049, 0.07180738272553366)
1(0.07971155119267792, 0.08192159264724186)
1(0.08009156123454642, 0.08225617614020397)
1(0.10940821831134684, 0.11127122223376817)
1(0.09901100344497016, 0.10078629919829019)
1(0.08637220085029074, 0.08812880471672446)
1(0.11310190775439, 0.11480402502562759)
1(0.1260583044668644, 0.12768621772971256)
1(0.07056041145487812, 0.07208698182230155)
1(0.05429016141073606, 0.05571804662415647)
1(0.11349265147811327, 0.11488259646304522)
1(0.04496390329495403, 0.046325899074169175)
1(0.1121347072827924, 0.11336032136325813)
1(0.06872204674691329, 0.06991385600251188)
1(0.1009733134422538, 0.10211556687140155)
1(0.07007344924149783, 0.07118431577936335)
1(0.11181197246472896, 0.1129153690066832)
1(0.12414567128872911, 0.12519347002022752)
1(0.15702936004840584, 0.1580758193856966)
1(0.09570455428652958, 0.09669373849261476)
1(0.1566672581007098, 0.15755333827343931)
1(0.15666106632413912, 0.1574028105767179)
1(0.06672028513731942, 0.06719806462075861)
1(0.05755894863303601, 0.05801658728919534)
1(0.06987647520821616, 0.07028558265246598)
1(0.09883295715387375, 0.09920473699870891)
1(0.07583709812115513, 0.07615361726297987)
