,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
alpha Motivational state 0,0.019197070069468372,0.0004977837924833657,0.004810144524368173,0.0004699171992872792,0.009598535034734186,0.023321882459135294,0.0024050722621840864,0.004193201211305074
alpha Motivational state 1,0.014733196723005463,0.0005694290875433585,0.005186490056168145,0.0004487183215051113,0.007366598361502732,0.02027983989989423,0.0025932450280840725,0.0014018459889227359
alpha Motivational state 2,0.02852966891432896,0.00076732550897644,0.007391428076871066,0.0005288901103604484,0.01426483445716448,0.030519946284446396,0.003695714038435533,0.0012504853026005858
betta Motivational state 0,0.021836031973353303,0.000686647765324212,0.004230401769960627,0.0004764063222777237,0.010918015986676652,0.025457671473998324,0.0021152008849803137,0.0035557762658910996
betta Motivational state 1,0.017315732340496093,0.0004505808843327243,0.005351619252247066,0.0003511037989644918,0.008657866170248047,0.023706417532556145,0.002675809626123533,0.0026904153432419065
betta Motivational state 2,0.03193440944019117,0.0007543634406440278,0.005269069228935686,0.0005695876531443486,0.015967204720095586,0.03321785218348497,0.002634534614467843,0.0010328305559084527
gamma Motivational state 0,0.03276307609604347,0.0018510955435360765,0.0075258494046458015,0.0018077660917203997,0.016381538048021733,0.044247887337157586,0.0037629247023229007,0.0020674379543126767
gamma Motivational state 1,0.028275963578305727,0.00150701402995419,0.006961691629374145,0.0017271099477041167,0.014137981789152864,0.040227847993626394,0.0034808458146870724,0.0015901044959690958
gamma Motivational state 2,0.05439569395784898,0.0021078850165787565,0.010485925268780996,0.001701066016852726,0.02719784697892449,0.04948419754577907,0.005242962634390498,0.0026472029165053785
no_filter Motivational state 0,0.1376339812954106,0.003055671509732679,0.03135620050526788,0.0023697239958074914,0.0688169906477053,0.12125764931477803,0.01567810025263394,0.014298211835530913
no_filter Motivational state 1,0.11537320507541382,0.0032924790333316114,0.02453729774084615,0.002661081490933062,0.05768660253770691,0.10876351452077096,0.012268648870423076,0.008239900491597773
no_filter Motivational state 2,0.2254065800436111,0.0056806311958990515,0.0641292694983018,0.004199605743983958,0.11270329002180555,0.20101697245981293,0.0320646347491509,0.04881071248034369
