1(0.8258447346371407, 0.9683196075884458)
1(0.15521571298025005, 0.27644331634216)
1(0.13384343209318206, 0.21114774089408295)
1(0.17265619621494666, 0.24539733917022943)
1(0.1261364879970699, 0.17477993127452995)
1(0.16158167649407706, 0.20766616855506415)
1(0.07176367218187285, 0.09517627225966785)
1(0.16184634730177527, 0.17489903627117642)
1(0.0444777095601433, 0.05679484264108825)
1(0.16517772281922138, 0.1770160863186785)
1(0.05325112552845146, 0.0638975365950103)
1(0.05324691671184856, 0.0636627034920958)
1(0.08540614353483578, 0.09508295677074385)
1(0.08668567259966564, 0.0959776664265708)
1(0.036477437924489986, 0.045658504903086206)
1(0.056249912758193465, 0.06515214618577114)
1(0.06640166785409496, 0.07417793302865516)
1(0.07074502276607197, 0.07756891168078783)
1(0.06095346344678254, 0.06762704084008286)
1(0.0499768961246051, 0.056474758815006076)
1(0.059753486465785044, 0.06598372446029921)
1(0.02552023294837158, 0.0316839352094217)
1(0.08049173325625003, 0.08576210154256703)
1(0.017727178870850846, 0.022851458072041586)
1(0.020085765719806026, 0.025173912087054107)
1(0.07028602006636364, 0.07522782874655665)
1(0.052756133249428516, 0.057460329656051634)
1(0.02324237157917619, 0.027560899249965187)
1(0.026802822685134342, 0.031040622472702117)
1(0.024402866002668833, 0.028390106448903496)
1(0.02819487309116875, 0.03215870191726844)
1(0.039118960714352946, 0.042503209589154656)
1(0.05439404775057666, 0.05770473575383095)
1(0.03925845628548563, 0.04253510584722775)
1(0.023581326308718453, 0.02683711263011279)
1(0.028467204904075616, 0.03171658444232528)
1(0.09795845937024406, 0.10117752657685364)
1(0.021675197922708778, 0.024595117512635545)
1(0.032942514737541395, 0.03582436259242672)
1(0.03516337901562672, 0.03795360692684269)
1(0.018721998239315196, 0.021449982829203407)
1(0.02892320483587918, 0.031602564477875905)
1(0.015839890605271245, 0.018301915436114147)
1(0.02676547908289162, 0.029167251519000237)
1(0.06311172626348671, 0.06545333209358084)
1(0.018089365168650784, 0.020356140230009312)
1(0.01353276131269432, 0.015786003944030513)
1(0.042995800295713704, 0.04511598382273985)
1(0.05249954234926746, 0.05451295363818098)
1(0.009091133443477006, 0.011078573196497965)
1(0.01442127512632363, 0.01639609230057104)
1(0.045296730137926455, 0.047246168618878315)
1(0.02271171522746629, 0.0246355690290484)
1(0.08845588269275884, 0.09032887650099675)
1(0.019962088324076088, 0.021832955843893664)
1(0.026037891921197542, 0.027885520942299125)
1(0.06321275384404035, 0.06503768555811795)
1(0.049252416235688434, 0.05104850538702155)
1(0.016559198557370314, 0.01832803580068143)
1(0.016333577544031752, 0.01802591555781141)
1(0.08981845321479753, 0.09150577204410149)
1(0.00406288996340598, 0.0056289439066667946)
1(0.005698161378451361, 0.007260053564277058)
1(0.02523963847307964, 0.026797206721142275)
1(0.020027418456460278, 0.021560771537216694)
1(0.015854639248113256, 0.017336379280673664)
1(0.028681577464155783, 0.030162450214211378)
1(0.028373866753992893, 0.029775324460283747)
1(0.01921983377073777, 0.020471641354773085)
1(0.023425637285701795, 0.02467276565654586)
1(0.06402763727299465, 0.06523911037341634)
1(0.03296192865163183, 0.03416336965831379)
1(0.09495726497572432, 0.09610395174569186)
1(0.015966904016159855, 0.017069272711368266)
1(0.0027981877398901567, 0.0038348155789124094)
1(0.07272476093966107, 0.07375213444417406)
1(0.008955149961173747, 0.009982061897326644)
1(0.01620760839101698, 0.017188662273864064)
1(0.00633342959259775, 0.007311693608054504)
1(0.026954616468566117, 0.02781050636802973)
1(0.004680995652413644, 0.005533623847654212)
1(0.005820589465095338, 0.006614171089792453)
1(0.10275276863782967, 0.10353594532114829)
1(0.005965437709256949, 0.006746811151944754)
1(0.013569308243970735, 0.014347671002252538)
