1(0.034064510493917934, 0.044531999528987946)
1(0.06826557816583138, 0.07871617658292004)
1(0.039221384293164324, 0.04712662679379223)
1(0.038652651538482796, 0.04563267508994623)
1(0.037586980027055863, 0.04392803489134132)
1(0.06406852433168572, 0.07030469925173644)
1(0.041184240265476436, 0.04711247228486642)
1(0.03234518771366008, 0.03787352670659473)
1(0.033042096738628256, 0.037883129146519395)
1(0.029603542539381196, 0.03414411020965247)
1(0.018813885214153007, 0.022304762472815383)
1(0.03896231131109155, 0.04243324861282326)
1(0.025100195301455398, 0.028555596687241173)
1(0.040765981753310025, 0.0441887180236041)
1(0.034905306959064214, 0.03794927241095589)
1(0.02663085174247985, 0.029618404233473547)
1(0.03936638933192084, 0.042348075438365905)
1(0.026488422344573596, 0.02932930762695645)
1(0.028130569819909877, 0.03083691965029964)
1(0.02632665965804394, 0.02899948566054274)
1(0.02791628264950321, 0.030570823811910036)
1(0.02388472026041185, 0.02636530458118913)
1(0.014774291721639557, 0.017045593186655262)
1(0.03165361261609418, 0.03392227575824486)
1(0.02929499870837514, 0.03151680922337399)
1(0.026036259260579352, 0.02825692560490262)
1(0.030192883157073844, 0.032392109805014)
1(0.03145763453713829, 0.03361358453464154)
1(0.02076507029007665, 0.022888441192407127)
1(0.027714772664229725, 0.0298372903948375)
1(0.02976580178308762, 0.03188335503075634)
1(0.012432030527676781, 0.014511047593506786)
1(0.012326776182207505, 0.014392836310335083)
1(0.02049086339901446, 0.022429397949278205)
1(0.034220978940571425, 0.03607359579754349)
1(0.03459204794761605, 0.036444318660035106)
1(0.013296505207781473, 0.015099541077878254)
1(0.01204058013215239, 0.013786925080082842)
1(0.02334401936164447, 0.02508412598715059)
1(0.034054588401206023, 0.03579086604191788)
1(0.021531882553609487, 0.023260860943039297)
1(0.012877673341053735, 0.014593030084635071)
1(0.016268988764007977, 0.017920034093048428)
1(0.06443277433252054, 0.06598126366926109)
1(0.030930996293801125, 0.032448528352336685)
1(0.014796823933209186, 0.016294320845199634)
1(0.023305580851494367, 0.02479388082798417)
1(0.027959150104666503, 0.02939509422871986)
1(0.014616506004152563, 0.016029728417839964)
1(0.034611339580913066, 0.03598105947927563)
1(0.013367613929290862, 0.014642440648778019)
1(0.03420652263638214, 0.03547456221628037)
1(0.012400887026284602, 0.013666352652150465)
1(0.033483437804908096, 0.03471190396540801)
1(0.034196522867954555, 0.035392655947592604)
1(0.029540612485120455, 0.030721462741589357)
1(0.027682624174342564, 0.0288573434573256)
1(0.04250913504210444, 0.04367100358922121)
1(0.027513528742400522, 0.02864316029543211)
1(0.03293339192191994, 0.034042981818862166)
1(0.016296571197213106, 0.017397075649448406)
1(0.01222364220276682, 0.013283376414168968)
1(0.03576868323401649, 0.036822056561282054)
1(0.05445549784117152, 0.055432447753119694)
1(0.02230835598542589, 0.02327584545466933)
1(0.02341924284606551, 0.024380154129375355)
1(0.03376747031410199, 0.03472836047623966)
1(0.019111895536508935, 0.02006829265866221)
1(0.036042150294737646, 0.03695656710143218)
1(0.013409238853363578, 0.014272856147823965)
