1(0.490298611793617, 0.5995809712002179)
1(0.366991502872928, 0.4407538207502169)
1(0.6649049995041451, 0.682650885730582)
1(0.4331229555506392, 0.4466424947648901)
1(0.16367185805998444, 0.16950222754919128)
1(0.05989208228351255, 0.0653454382329517)
1(0.16938607944616182, 0.1747433836282569)
1(0.1565996194587177, 0.16156344058532313)
1(0.15853199204525198, 0.1633699683397758)
1(0.17800829443145416, 0.18265709393802518)
1(0.16169628422788695, 0.16632456023000272)
1(0.16269925444231964, 0.16726464752908352)
1(0.15416145163254724, 0.15871994233434703)
1(0.16675593681844003, 0.17094162562987583)
1(0.16169560251907114, 0.1656096170971295)
1(0.1557838345856404, 0.15942137817586644)
1(0.17789005028170363, 0.18151471957922244)
1(0.06003479858918035, 0.0636196653795221)
1(0.21281179681505363, 0.21639427942634742)
1(0.1632227861461718, 0.1667913672865568)
1(0.0630656062536195, 0.06660473286048962)
1(0.15436860311073763, 0.15779463486144463)
1(0.15529934526269842, 0.15871994233434703)
1(0.1585529694022271, 0.1619727148080321)
1(0.05691663369928504, 0.060074235823249625)
1(0.06746442935732921, 0.07051079975889654)
1(0.06503926149436601, 0.06801927526225268)
1(0.17456851975962415, 0.17742282488411376)
1(0.1774562684916619, 0.18021272026303564)
1(0.06625972417496878, 0.06900144373884365)
1(0.15916732126213565, 0.16189125453230355)
1(0.056169048832518186, 0.05886501588224942)
1(0.1528041849360925, 0.1554987724242316)
1(0.1802965996959589, 0.18298859395327322)
1(0.06664436340390595, 0.06932454549184222)
1(0.1560053248839108, 0.15865071257176291)
1(0.1526601386801361, 0.15520905179632408)
1(0.17965097427443188, 0.1820848804534282)
1(0.06168512007434712, 0.06411437239272295)
1(0.06000399811067835, 0.0623915680202171)
1(0.16019403962783288, 0.16255808845973335)
1(0.18411219600052314, 0.18646161518136703)
1(0.15955191943203267, 0.16183610669699436)
1(0.15752008318057795, 0.15975959791623962)
1(0.15786426617625818, 0.16008844345549023)
1(0.1641465080532412, 0.16632456023000272)
1(0.15934569853962027, 0.16148876451889682)
1(0.17224287488931744, 0.17437525150756406)
1(0.17038630323702017, 0.17251839766044208)
1(0.17007953852392263, 0.17220542190555532)
1(0.1772202636502389, 0.17933183984610235)
1(0.15420519533008176, 0.1562744591022655)
1(0.058372588452886086, 0.060428312833522194)
1(0.05906453466342364, 0.061065644008646926)
1(0.053910803473788606, 0.05588201444134526)
1(0.053583722457868604, 0.05554864519793746)
1(0.1888068844633079, 0.19077051737793277)
1(0.06473792853843013, 0.06668222655051578)
1(0.061224151844856065, 0.06314782375365582)
1(0.060316968937943916, 0.06224011848938327)
1(0.057521187850062785, 0.05941600709958983)
1(0.16424989349370595, 0.16606024238705488)
1(0.15689165858207343, 0.15865071257176291)
1(0.159755999539886, 0.1614581933851567)
1(0.062346951827522645, 0.06402158246278995)
1(0.05670885770256457, 0.05835948489873756)
1(0.06868310762570727, 0.07027266031972274)
1(0.15316285632400495, 0.15474636340390238)
1(0.05862798791313412, 0.06020831301150372)
1(0.05692578967347433, 0.05849637147844225)
1(0.07084274048936363, 0.07239991861186346)
1(0.05630484732410729, 0.057823359595948434)
1(0.0752140497642374, 0.07673158734825188)
1(0.1686884747362924, 0.1701587490228582)
1(0.17018291804503996, 0.17157606658074112)
1(0.16010628894944884, 0.16148876451889682)
1(0.0606982531798436, 0.062073202130547005)
1(0.05919679789015997, 0.060571039148553024)
1(0.06762959898931298, 0.06897986436739939)
1(0.3783870619020465, 0.379715089291399)
1(0.18860595132739566, 0.18991074725978735)
1(0.05776530908848729, 0.05906154999968848)
1(0.055925643331360554, 0.05721354354292268)
1(0.057652226479364174, 0.05886138536318268)
1(0.20452516196859538, 0.20570156699502673)
1(0.05953840359585314, 0.060702834229185945)
1(0.05839141613356568, 0.05951217273778019)
1(0.06085163785042406, 0.06196808273612552)
1(0.06348852884913306, 0.06460318233213118)
1(0.07207763371768655, 0.073183388551852)
1(0.15374090417683747, 0.15481478057810788)
1(0.1740287084337214, 0.17508909087817667)
1(0.15433582650864272, 0.15538066379215065)
1(0.057146165436971624, 0.05819082372195707)
1(0.17117147703223176, 0.17220542190555532)
1(0.15916352437785958, 0.16019462919893185)
1(0.05511303070814391, 0.056127184820290076)
1(0.16579283088781274, 0.16679522386012607)
1(0.06452831623449941, 0.06549731313819376)
1(0.1517332185543638, 0.1526920840942045)
1(0.06674696700409823, 0.06770378160388552)
1(0.06343357776946557, 0.06437981104754337)
1(0.06174571589893885, 0.06269061245271723)
1(0.15657726692591512, 0.15751997690982988)
1(0.059601071168744066, 0.060521660937812624)
1(0.08299485079781539, 0.08390870666909782)
1(0.17592093441731987, 0.17682468552043068)
1(0.05884555290084916, 0.059734021513453146)
1(0.16040951401100126, 0.16125631804161925)
1(0.1648651388426349, 0.16569464320454869)
1(0.07330628061339944, 0.07413152792464778)
1(0.06707818673422872, 0.06790330898984019)
1(0.05485792728438252, 0.055681750392102276)
1(0.06392397553663037, 0.06474266195970796)
1(0.07465424893729233, 0.07544878281857738)
1(0.06626982375292192, 0.06702581090494975)
