1(0.7443260654770784, 1.0223475228559904)
1(0.9461737875962112, 1.0432333938322682)
1(0.7887382395934267, 0.8776458463220062)
1(0.1685229906532174, 0.251970633861062)
1(0.11250345235027015, 0.18526788003669148)
1(0.6932728687824008, 0.7508957536265408)
1(0.08660871973492934, 0.13091003730358675)
1(0.16404589942802117, 0.20207986367315312)
1(0.1265047975258342, 0.15612033829589522)
1(0.1858487351154895, 0.21075539570285584)
1(0.04812354655177509, 0.06999538846573838)
1(0.19104110209719016, 0.21175527873889444)
1(0.09165369764887998, 0.10893268126795541)
1(0.05182263731283898, 0.06889498848674036)
1(0.15622948169572592, 0.172994728628178)
1(0.10788175084853135, 0.12294281549948949)
1(0.10784068936240399, 0.1222274514372873)
1(0.3978878176099081, 0.41175150328655585)
1(0.09549273639403744, 0.1066338615418082)
1(0.12014856894963244, 0.13078633107156123)
1(0.01581885610924516, 0.025908749690793487)
1(0.043224173685089906, 0.05279726954109121)
1(0.029719887737811312, 0.038611938809295254)
1(0.01987886849152265, 0.028475931725263748)
1(0.03816080963401336, 0.046308905237195774)
1(0.024587038291046137, 0.03235264045993935)
1(0.0787122748203265, 0.08607797342058199)
1(0.04344219374397462, 0.05080209224441179)
1(0.1917456241468397, 0.19906202328749945)
1(0.020817488694677255, 0.028123806254318984)
1(0.024163317333528722, 0.0313253633756736)
1(0.09363511578274586, 0.10053829039404949)
1(0.030493321342369928, 0.037258333073491134)
1(0.039413731708676125, 0.045670268750252596)
1(0.05131484691525434, 0.05749686020025424)
1(0.024732614677183573, 0.030528853063570116)
1(0.04525366523593832, 0.05103628241072844)
1(0.06578155464532187, 0.0713537591606852)
1(0.08113553909573845, 0.08666403967968273)
1(0.04259394251028603, 0.047709089648408254)
1(0.04895421433557112, 0.05374026045116975)
1(0.024448784087471642, 0.029158778820453368)
1(0.023662909135126697, 0.028310911874206868)
1(0.017275439136730686, 0.021658668571642115)
1(0.027320634057498405, 0.031635954486456064)
1(0.030805761466018322, 0.035088202333905416)
1(0.03016397768975332, 0.034442978940913305)
1(0.01913483011502415, 0.023392716149003512)
1(0.03739444965318073, 0.04134184609137159)
1(0.012156480333308961, 0.016033130163603637)
1(0.065405665306986, 0.06923565579483171)
1(0.03536315907549703, 0.03903513285270177)
