1(3.034657291756953, 3.701508668058896)
1(4.257968744169435, 4.594317786842205)
1(3.0104230075863794, 3.346147993991719)
1(3.039140693394871, 3.368545742124546)
1(2.863715189828649, 3.1694454631805766)
1(3.033929973488954, 3.330177311302496)
1(3.036555645861966, 3.330179284724218)
1(4.327062204504437, 4.610728664433513)
1(2.496564875894025, 2.764004006591743)
1(2.5372930109534146, 2.7933086828776483)
1(2.892124264068559, 3.1431403029791927)
1(2.3784661976586, 2.61200192990635)
1(1.6328614665355412, 1.855846702146788)
1(2.9133780016292183, 3.135962299358531)
1(2.923667580399357, 3.1392312098433677)
1(2.906117546058028, 3.118669601210887)
1(2.700193195348119, 2.90940870740957)
1(2.7707825605169583, 2.9782314135071326)
1(1.5872922482886171, 1.7863600252079026)
1(2.9272956018641203, 3.1255671104254996)
1(3.1048742238360507, 3.2923045624343255)
1(4.256488160267822, 4.442438854198591)
1(2.826767336370227, 3.012073881478229)
1(2.9573451951168597, 3.1300920164471733)
1(3.032216602517711, 3.204030594112268)
1(3.2617968416936223, 3.4280842742393487)
1(2.934628429631565, 3.0996352122657647)
1(2.3966469364437795, 2.5604932028970384)
1(5.007143931644803, 5.169324906160892)
1(3.1584266694569183, 3.319297488630598)
1(5.049982016884419, 5.204324666058371)
1(2.8935807162278007, 3.0392710006107904)
1(2.9477501102417882, 3.0879167646863084)
1(2.3871307497793177, 2.525556705453567)
1(2.632624638540617, 2.764004006591743)
1(1.698990712256533, 1.8288776848427666)
1(2.393289847261162, 2.5226530086902033)
1(2.953812741745681, 3.082090778071262)
1(3.1977991476282637, 3.3259424724244337)
1(2.9653668302956047, 3.092817622048443)
1(1.7029104703558418, 1.8289438289765823)
1(2.878621884388121, 3.002910422677383)
1(3.0558282839766817, 3.1752612667048035)
1(3.0532553852174362, 3.1675015166838536)
1(2.7700756307932943, 2.880759368001252)
1(3.2126076078386587, 3.316828957969749)
1(3.230378187330737, 3.3306946800871584)
1(1.6990966953925977, 1.7973390257237398)
1(4.6243768197021575, 4.722478706977794)
1(3.315994050811602, 3.408727096324239)
1(1.7382188987836584, 1.82891273042089)
1(3.0395522944043023, 3.1255671104254996)
1(1.6363489438755525, 1.7221942030805928)
1(1.7926442484784375, 1.8768101249401814)
1(3.3474934840777886, 3.431045503626341)
1(1.9428944906648673, 2.0236288290678774)
1(2.8413157880193824, 2.9207855568141454)
1(2.63883135574334, 2.7147395315531213)
1(2.890414372178602, 2.9556751378924124)
