1(0.09672620559593392, 0.1814085798473163)
1(1.04880123155983, 1.1331000380335434)
1(0.15933448882620105, 0.20494043440221343)
1(0.10697959541682145, 0.1475100768339026)
1(1.0673716419296064, 1.1059276995070821)
1(1.0502620721369746, 1.082502083980489)
1(0.1744643189024624, 0.2045543372405879)
1(0.018974263510938894, 0.04278981956080097)
1(0.11909345492219936, 0.14100318800528777)
1(0.10849511943512846, 0.12770811778168867)
1(0.10593263203031522, 0.1248406090827685)
1(0.021803723968256805, 0.0370016193210585)
1(0.07791364273124768, 0.09116940434104903)
1(0.05469456543102347, 0.06783650113192552)
1(0.10788747449155878, 0.1187055964300282)
1(0.03409990701979104, 0.04447907968954534)
1(0.11736124370286938, 0.12772273812668578)
1(0.03819041829639358, 0.0485467387884686)
1(0.1386408095206808, 0.14882044273376982)
1(0.06652656366063603, 0.07566475408839157)
1(0.11050525200725791, 0.1195998194843646)
1(0.020648586284002235, 0.02966254053076145)
1(0.06016079199056468, 0.06836212006183373)
1(0.07114816002918078, 0.07830504694501683)
1(0.07340927395941854, 0.08056508945841145)
1(0.056618633533699114, 0.06374562993641153)
1(0.018214306835941496, 0.02486895046940396)
1(0.04905949508453933, 0.05520847074396473)
1(0.03748910945434125, 0.04353676826675745)
1(0.02898511040912366, 0.03486237820260207)
1(0.036183247892522474, 0.04204599671360376)
1(0.057295253893191345, 0.06303490915722476)
1(0.023374859270775206, 0.02905364975870761)
1(0.029996941852199477, 0.03524084986193976)
1(0.028948321180326975, 0.03418173147088366)
1(0.03744241493409439, 0.042634957429939724)
1(0.03260133086688055, 0.0376300715544341)
1(0.11064368905240884, 0.11561125440607256)
1(0.22863939480026052, 0.23346690292036532)
1(0.018902769355059412, 0.023704313820669398)
1(0.07339344634088163, 0.07803456477602433)
1(0.030018620473735824, 0.0346234041928587)
1(0.05462504840923388, 0.05898564117411176)
1(0.07313340417375902, 0.07743348326780031)
1(0.0356670088752814, 0.039828108882299706)
1(0.02096610049872072, 0.025034138584476673)
1(0.01714586011094077, 0.021185837021061027)
1(0.025598960765447987, 0.02946359637197382)
1(0.01853903573066029, 0.022375665597088146)
1(0.03922793399850577, 0.04301384891422766)
