,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
alpha Motivational state 0,0.9597144527259127,0.0038642689541718545,1.390297448337086,0.0029830807230650457,1.390297448337086,4.329937956494837,0.47985722636295636,0.6688086528287421,0.695148724168543,0.24079542885121608
alpha Motivational state 1,37.87836854009718,-0.1276248259855748,145.1100847827429,0.08260081972990628,145.1100847827429,,0.5092536607769593,0.9624581876759927,0.9320623152557829,0.7889203490565845
alpha Motivational state 2,,,,,,,0.5180420313420748,0.7619997780427238,1.5801540768730435,0.18419834330557078
betta Motivational state 0,1.2450148281990796,0.0031299823841811113,1.2751123313843322,0.0027667100321048604,1.2751123313843322,3.158604541109311,0.6225074140995398,0.8537775589354895,0.6375561656921661,0.31291037946558836
betta Motivational state 1,172.1259552730833,0.17942847627670755,313.0918295243903,0.8548662992411172,313.0918295243903,0.33505289500230573,0.6541939910577785,1.3134146124249237,0.7205183922081313,1.530855763944454
betta Motivational state 2,0.6072901783378891,,9.676140203758093,,9.676140203758093,-0.0,0.628404009981977,,1.2411713540958322,
gamma Motivational state 0,1.594973128055414,0.002055252623768674,1.103487099720741,0.0017878066642909845,1.103487099720741,1.0400084078849459,0.797486564027707,1.3156312399508836,0.5517435498603706,0.39287551169775786
gamma Motivational state 1,2277.1876193446988,-0.3448579285194515,2586.415740186149,0.12798983035199216,2586.415740186149,,0.8395735952442815,0.8155378916526616,0.7111511188534081,0.02259813588063196
gamma Motivational state 2,,,,,,,0.8271734001287309,1.4247900292708806,1.015183605427511,0.0028651129971209908
no_filter Motivational state 0,5.945810498313312,0.03146308213742504,9.60271095616923,0.02874376777379475,9.60271095616923,4.34093883438188,2.972905249156656,5.180825229917602,4.801355478084615,3.0234374470148038
no_filter Motivational state 1,19.6527185941385,-0.12845217195497258,113.89149770183069,0.08065940969313763,113.89149770183069,,2.8302792994374166,3.9801477033498425,6.688222288922419,0.922678714447586
no_filter Motivational state 2,,,,,,,3.371168624288494,4.116357190617216,8.628458612392565,1.7056920741735346
