1(0.7831764245451054, 1.015004460249628)
1(1.3772231933213452, 1.4645433110070032)
1(0.19375533005168943, 0.2411219985732308)
1(0.10830495660009776, 0.13540862485673055)
1(0.11472103165577419, 0.13707416857857457)
1(0.24847564227821672, 0.270243071112386)
1(0.24613291801557036, 0.2662578462397499)
1(0.09759045204709327, 0.11745251041327154)
1(0.06265031338742455, 0.08124911593137818)
1(0.1355898962222567, 0.1540818705702669)
1(0.07891499785659217, 0.09622897811597497)
1(0.06764384039815119, 0.08411923786694675)
1(0.08938181725410599, 0.10558261115969281)
1(0.14437444386799003, 0.160542141474316)
1(0.06701841669456254, 0.08312410712377372)
1(0.06339181519712112, 0.07925420078723555)
1(0.08189262060618108, 0.09673601271070531)
1(0.0761836929248404, 0.090482437117136)
1(0.0746056547863867, 0.08886216251476342)
1(0.08489694520745328, 0.09902620492110303)
1(0.10334820774698794, 0.1174449461418694)
1(0.06259148808623705, 0.07659284404295386)
1(0.08071581389221516, 0.09413420273359696)
1(0.08402631950790773, 0.09739135193981208)
1(0.06555297731169585, 0.07877472220859716)
1(0.08181422786848414, 0.09483898887998932)
1(0.0794330190698147, 0.09243107574714882)
1(0.07044419374248234, 0.08341456589961349)
1(0.10025535551719089, 0.11268960470132361)
1(0.08448035515011731, 0.09620881244202717)
1(0.0946297579421913, 0.10629836726496578)
1(0.06684691449313973, 0.07816201712910864)
1(0.07213660739153704, 0.08341456589961349)
1(0.10744134614346335, 0.11840490306839857)
1(0.06867580899047732, 0.07953598888944957)
1(0.08040757351218375, 0.09065068477518767)
1(0.06491212462742257, 0.07509892089255843)
1(0.06405782576918329, 0.07420603238612089)
1(0.06573432218621611, 0.07581057144101477)
1(0.07097852221546563, 0.08085700212035474)
1(0.07068147804233438, 0.08028779385225737)
1(0.08479943837613013, 0.09415927542929636)
1(0.06776949019801015, 0.07654541101216261)
1(0.06359827955136865, 0.07215235787522412)
1(0.08766849852996139, 0.09620881244202717)
1(0.07770228550350378, 0.08621499416969902)
1(0.059390417865999856, 0.0676719707820651)
