,1,2,3,4,5,6,7,8,9,10
Dim0 no_filter Motivational state 0,0.7989657982727433,0.7916353261673806,0.7854825244053912,0.705712859535051,0.6869764250526491,0.33076559082609325,0.32032530531099923,0.31506948474562685,0.301965644181755,0.2990902756930357
Dim0 no_filter Motivational state 1,1.0798456939642993,1.0762601512510122,1.0762459379947293,1.074247149483856,1.0613643570403914,0.4181260258253967,0.41395255251332824,0.38978131217533746,0.36028111552344333,0.359624024140413
Dim0 no_filter Motivational state 2,0.9117742081478938,0.9025792195770701,0.8780625969976023,0.6739747120992916,0.6724824189788903,0.34376848603144783,0.3427683509101598,0.2888005596905746,0.2885393799956119,0.28541384975386924
Dim0 alpha Motivational state 0,0.2757598578082587,0.2227260313633016,0.15832917568969168,0.146698541936331,0.14213655901417274,0.1300627291911281,0.1284951230395761,0.12728756801477728,0.1261827225677166,0.120929947184795
Dim0 alpha Motivational state 1,0.29559777656581976,0.2332417945569775,0.1793052735773102,0.16420789497065746,0.16231416595886142,0.16097202283085651,0.14881719737701915,0.14207504976152754,0.13372153436907724,0.11626343556819842
Dim0 alpha Motivational state 2,0.32292275332371534,0.22336663713380972,0.18942612531825834,0.15260869809105507,0.13878573486355883,0.12654031279225586,0.11995551723286356,0.11873968933618091,0.11781219215572372,0.11490631746819846
Dim0 betta Motivational state 0,0.2367388073634889,0.2005061007497668,0.1870560730097968,0.18297110718650988,0.1821478043466095,0.18186201154465106,0.18126204229760354,0.1783039148282669,0.13589592477451515,0.13400924612317505
Dim0 betta Motivational state 1,0.2426201205786876,0.21082549562543335,0.21067358417204876,0.20906019253298408,0.20856453593433047,0.20809289539989156,0.20022170552098348,0.19747251439438734,0.16040198556052496,0.11095874457743476
Dim0 betta Motivational state 2,0.30463215163619367,0.2095250862577227,0.20280310584559422,0.19816497377248496,0.1964974179264302,0.1959505214861025,0.18106455811593378,0.17534920746031532,0.17153144151346583,0.1514114711870799
Dim0 gamma Motivational state 0,0.349086322679955,0.3435464107901359,0.3305028636451171,0.2285098785830843,0.22441671704659627,0.15062090186915378,0.1076946436945504,0.09645595872298421,0.09600843233037695,0.09443982895375894
Dim0 gamma Motivational state 1,0.3769880549473216,0.3689044391333011,0.355413958120009,0.2694312731926759,0.26875712344441854,0.1704559284955781,0.11425874181759886,0.1044756130185379,0.09493259090541938,0.09269630085520905
Dim0 gamma Motivational state 2,0.4046148008462162,0.398900564455542,0.3841593115599739,0.23499218245679004,0.2301648125938707,0.11425518360054195,0.10661748630884171,0.09619726574759341,0.09361703031427111,0.09093356730023662
Dim1 no_filter Motivational state 0,0.07983801824402964,0.04469908266559336,0.040024969614085804,0.036075103692855326,0.03545177706992192,0.031816521619580346,0.03181619106288536,0.03142202611768857,0.027058293395548383,0.02412668205927776
Dim1 no_filter Motivational state 1,0.09217090846652459,0.0295898402566237,0.026678203288708957,0.023482673416908184,0.02085876253221758,0.01696529730327595,0.01558055948808218,0.015133189838295646,0.013007658367800712,0.012590140777407166
Dim1 no_filter Motivational state 2,0.06164929775633765,0.05106391705846064,0.04523555683330227,0.044904529901615864,0.04108203186908621,0.03137826057695031,0.0290519282445158,0.026954709506237295,0.023846800820096492,0.021585990411056577
Dim1 alpha Motivational state 0,0.015928663877375654,0.007814616042790351,0.007672523602908571,0.006019566088078049,0.0051209861233039305,0.0046736430069849386,0.004025089141193268,0.003536801761308647,0.002709736615096256,0.002681855750273951
Dim1 alpha Motivational state 1,0.0039918345437574,0.003965919112350003,0.0025637537464242785,0.0009309177284953576,0.0005906825947188665,4.442644396349116e-05,0.0,0.0,0.0,0.0
Dim1 alpha Motivational state 2,0.02604867599419433,0.022539642320769188,0.02034742707040446,0.007994327906419046,0.00783006482803772,0.0037513152702741415,0.0035061310374533555,0.0022477803967325544,0.0022411698213809783,0.002147190218360892
Dim1 betta Motivational state 0,0.011708866187468941,0.011285656602152819,0.008925031432238106,0.007926395719729501,0.006641499132434142,0.005573891304417572,0.005554159416683829,0.005432077455911885,0.005376443806036996,0.004833648855535111
Dim1 betta Motivational state 1,0.024947666435241156,0.013990680749042195,0.004745361416096862,0.0020826682954002557,0.0010575343856505035,0.0009420236211176297,0.00023850593555410637,7.31381930877198e-05,0.0,0.0
Dim1 betta Motivational state 2,0.04031178266967908,0.018818346439655353,0.015961920835145846,0.007548421602218844,0.0060400946684635165,0.00573233730733301,0.00525109249436978,0.0024350252146345397,0.00190298942952917,0.0018699863228289412
Dim1 gamma Motivational state 0,0.019236055313411646,0.011473682176691133,0.010656122104702431,0.010166955308591671,0.008393528867327069,0.007370475045655911,0.006507566168550999,0.006445904742943612,0.0063344940540912414,0.005743138250747765
Dim1 gamma Motivational state 1,0.0029528337247724246,0.0022425839983597484,0.0014362005207936013,0.0007084942074098849,0.0,0.0,0.0,0.0,0.0,0.0
Dim1 gamma Motivational state 2,0.014166007241454545,0.011652498547870954,0.00879892302517947,0.005819209893257293,0.0050984558695968685,0.004972841134183434,0.004433306431969389,0.004239829725076749,0.003911552462221815,0.0034673000058084713
